year,tmID,rank,playoff,homeW,homeL,awayW,awayL,confW,confL,min,attend,num_playoff_appearances,total_first_round_won,total_first_round_lost,total_semis_won,total_semis_lost,total_finals_won,total_finals_lost,mean_won,mean_lost,confID_EA,confID_WE
3,DET,6.0,0,7.0,9.0,5.0,11.0,8.5,12.5,6487.5,108318.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,1.0,0.0
3,HOU,3.0,1,12.5,3.5,10.5,5.5,15.0,6.0,6462.5,188596.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,23.0,9.0,0.0,1.0
3,IND,6.5,1,6.0,10.0,3.5,12.5,7.0,14.0,6450.0,159596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,22.5,1.0,0.0
3,LAS,1.0,1,15.5,0.5,12.5,3.5,18.0,3.0,6462.5,126725.5,2.0,2.0,0.0,1.0,1.0,1.0,0.0,28.0,4.0,0.0,1.0
3,MIA,4.5,0,9.5,6.5,7.0,9.0,11.5,9.5,6525.0,134719.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16.5,15.5,1.0,0.0
3,MIN,6.0,0,7.0,9.0,6.5,9.5,7.0,14.0,6450.0,118622.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,18.5,0.0,1.0
3,NYL,1.5,1,12.5,3.5,8.0,8.0,13.5,7.5,6412.5,241263.5,2.0,2.0,0.0,1.0,1.0,0.0,1.0,20.5,11.5,1.0,0.0
3,ORL,4.0,0,10.5,5.5,4.0,12.0,11.0,10.0,6475.0,118342.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.5,17.5,1.0,0.0
3,PHO,4.5,0,10.5,5.5,6.0,10.0,9.5,11.5,6437.5,149027.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16.5,15.5,0.0,1.0
3,POR,7.0,0,6.0,10.0,4.5,11.5,4.5,16.5,6525.0,135366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,21.5,0.0,1.0
3,SAC,2.5,0,12.5,3.5,8.0,8.0,13.0,8.0,6462.5,130222.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,20.5,11.5,0.0,1.0
3,SEA,8.0,1,4.5,11.5,3.5,12.5,5.0,16.0,6512.5,118925.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,0.0,1.0
3,UTA,4.0,1,10.5,5.5,8.0,8.0,12.0,9.0,6437.5,106974.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18.5,13.5,0.0,1.0
3,WAS,6.0,1,7.5,8.5,4.5,11.5,8.5,12.5,6450.0,245400.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,20.0,1.0,0.0
4,CHA,3.0,1,11.0,5.0,7.0,9.0,13.5,7.5,6475.0,106097.5,2.0,1.0,1.0,1.0,0.0,0.0,1.0,18.0,14.0,1.0,0.0
4,CLE,4.0,1,9.0,7.0,7.0,9.0,11.0,10.0,6487.5,148228.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,16.0,1.0,0.0
4,CON,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,DET,7.5,1,6.5,9.5,3.0,13.0,6.5,14.5,6500.0,101759.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,22.5,1.0,0.0
4,HOU,3.0,1,12.5,3.5,9.0,7.0,14.5,6.5,6437.5,184881.5,2.0,0.0,2.0,0.0,0.0,0.0,0.0,21.5,10.5,0.0,1.0
4,IND,5.0,0,8.5,7.5,4.5,11.5,9.5,11.5,6450.0,136933.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,19.0,1.0,0.0
4,LAS,1.0,1,14.0,2.0,12.5,3.5,18.0,3.0,6475.0,167428.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,26.5,5.5,0.0,1.0
4,MIN,7.0,1,6.5,9.5,4.5,11.5,7.5,13.5,6475.0,130240.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,0.0,1.0
