playerID,year,tmID,GP,GS,minutes,oRebounds,dRebounds,dq,PostGP,PostGS,PostMinutes,PostoRebounds,PostdRebounds,PostDQ,Postperformance,performance,points_precision,Postpoints_precision
griffyo01w,5,SAC,25.5,25.5,796.0,79.0,119.0,1.5,3.0,3.0,100.0,9.5,17.0,0.0,74.0,514.0,292.0,32.5
griffyo01w,6,SAC,34.0,34.0,1023.0,107.0,140.0,2.5,6.0,6.0,202.0,19.5,31.5,0.0,139.0,699.5,381.0,66.5
griffyo01w,7,SAC,34.0,33.5,996.5,104.5,130.0,1.0,7.0,7.0,225.0,23.5,34.0,0.0,164.5,695.5,397.0,95.5
griffyo01w,8,SAC,34.0,33.5,908.0,87.0,134.0,0.0,8.5,8.5,241.5,27.5,37.5,0.0,197.0,626.5,392.0,117.5
griffyo01w,9,SEA,33.0,33.0,796.0,75.0,108.0,0.5,6.0,6.0,154.0,18.0,23.0,0.0,115.0,484.0,308.0,69.5
griffyo01w,10,IND,31.0,31.0,698.0,70.0,98.0,1.0,3.0,3.0,79.0,7.0,11.5,0.0,32.0,358.0,226.0,25.0
groomla01w,2,SAC,30.0,3.0,401.0,27.0,17.0,0.0,2.0,0.0,23.0,2.0,0.0,0.0,1.0,146.0,114.0,2.0
groomla01w,3,SAC,30.5,1.5,472.0,29.5,31.5,0.0,3.5,0.0,27.0,1.5,1.5,0.0,4.5,180.0,129.5,6.5
groomla01w,4,SAC,31.5,13.0,696.5,35.0,53.5,0.0,2.5,0.0,15.5,0.5,1.5,0.0,4.0,246.5,182.0,5.5
groomla01w,5,SAC,33.0,17.5,660.0,26.5,46.0,0.0,3.0,0.0,32.5,1.0,1.5,0.0,10.0,219.5,179.5,5.5
grubigo01w,2,IND,29.0,20.0,720.0,20.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,370.0,0.0
grubigo01w,3,PHO,28.0,14.5,600.5,19.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.5,315.5,0.0
grubigo01w,5,HOU,32.0,31.0,859.0,16.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,448.0,0.0
grubigo01w,6,LAS,5.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,6.0,0.0
grudasa01w,10,CON,31.0,1.0,476.0,44.0,66.0,0.0,3.0,0.0,27.0,0.0,4.0,0.0,8.0,279.0,220.0,6.0
hallvi01w,2,CLE,32.0,10.0,577.0,24.0,68.0,0.0,6.0,1.0,69.0,5.0,10.0,0.0,35.0,206.0,242.0,33.0
hallvi01w,2,IND,32.0,10.0,577.0,24.0,68.0,0.0,6.0,1.0,69.0,5.0,10.0,0.0,35.0,206.0,242.0,33.0
hallvi01w,3,LAS,19.666666666666668,5.333333333333333,308.3333333333333,13.0,34.0,0.0,2.0,0.3333333333333333,23.0,1.6666666666666667,3.3333333333333335,0.0,11.666666666666666,109.33333333333333,129.33333333333334,11.0
hammobe01w,2,NYL,32.0,16.0,835.0,19.0,45.0,0.0,7.0,7.0,206.0,5.0,5.0,0.0,73.0,386.0,363.0,74.0
hammobe01w,3,NYL,32.0,8.0,727.0,14.5,43.5,0.0,6.5,3.5,127.0,2.5,4.0,0.0,44.0,342.5,328.5,51.5
hammobe01w,4,NYL,32.0,0.5,639.0,14.0,46.0,0.0,7.0,0.0,115.5,1.0,9.0,0.0,54.5,299.0,301.0,49.5
hammobe01w,5,NYL,21.5,1.5,458.0,9.5,35.0,0.0,4.0,0.0,91.5,1.0,7.5,0.0,47.0,235.5,205.0,35.0
hammobe01w,6,NYL,22.5,18.0,693.5,9.0,60.5,0.0,2.5,2.5,89.0,1.5,5.0,0.0,29.0,384.5,318.0,43.5
hammobe01w,7,NYL,34.0,34.0,1155.0,18.5,97.5,0.0,3.5,3.5,127.0,1.5,8.5,0.5,37.0,604.0,521.0,57.0
hammobe01w,8,SAS,28.0,27.0,927.0,13.0,77.0,0.0,1.0,1.0,38.0,0.0,3.5,0.5,8.0,501.0,436.0,13.5
hammobe01w,9,SAS,25.0,23.5,804.0,7.0,64.5,0.0,2.5,2.5,87.5,2.5,4.5,0.5,60.5,499.0,463.0,67.5
hammobe01w,10,SAS,30.5,30.0,1017.5,10.5,73.5,0.0,7.0,7.0,253.0,3.5,14.0,0.5,157.5,663.5,625.0,145.5
hardili01w,9,MIN,20.0,20.0,602.0,15.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,366.0,0.0
hardili01w,10,WAS,22.0,15.5,596.5,12.0,59.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.5,293.5,0.0
harpela01w,10,SAC,34.0,1.0,560.0,68.0,69.0,0.0,3.0,0.0,42.0,5.0,4.0,0.0,2.0,244.0,185.0,13.0
harrili01w,2,PHO,31.0,20.0,750.0,38.0,83.0,0.0,2.0,2.0,68.0,4.0,7.0,0.0,42.0,307.0,157.0,12.0
harrili01w,3,PHO,31.5,26.0,832.5,38.5,91.5,0.0,1.0,1.0,34.0,2.0,3.5,0.0,21.0,338.5,212.5,6.0
harrili01w,4,PHO,32.0,30.0,907.0,41.0,91.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.5,259.5,0.0
harrili01w,6,PHO,33.0,33.0,838.0,42.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,229.0,0.0
harrokr01w,3,MIN,4.0,1.0,72.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,19.0,0.0
harrokr01w,4,MIN,15.5,3.5,276.5,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,88.5,0.0
